profession_id,staff_id,subject_id
1,8014024,130500
1,8014031,130500
1,8014036,130500
1,8014038,130500
1,8014004,1305Z1
1,8014017,1305Z1
1,8014022,1305Z1
1,8014026,1305Z1
1,8014027,1305Z1
1,8014028,1305Z1
1,8014011,135107
1,8014019,135107
1,8014021,135107
1,8014005,135108
1,8014006,135108
1,8014007,135108
1,8014008,135108
1,8014012,135108
1,8014013,135108
1,8014014,135108
1,8014015,135108
1,8014018,135108
1,8014020,135108
1,8014023,135108
1,8014024,135108
1,8014029,135108
1,8014031,135108
1,8014032,135108
1,8014035,135108
1,8014036,135108
1,8014037,135108
1,8014038,135108
2,8010003,10100
2,8010005,10100
2,8010006,10100
2,8010009,10100
2,8010015,10100
2,8010016,10100
2,8010027,10100
2,8007007,20200
2,8010012,30101
2,8010018,30101
2,8010019,30101
2,8010024,30101
2,8010030,30101
2,8010031,30101
2,8010032,30101
2,8010033,30101
2,8010034,30101
2,8010037,30101
2,8015005,30500
2,8015007,30500
2,8015008,30500
2,8015015,30500
2,8015022,30500
2,8015024,30500
2,8010020,40200
2,8010021,40200
2,8010026,40200
2,8010007,45400
2,8010010,45400
2,8010013,45400
2,8010014,45400
2,8010018,45400
2,8010019,45400
2,8010022,45400
2,8010024,45400
2,8010025,45400
2,8010026,45400
2,8010028,45400
2,8010030,45400
2,8010031,45400
2,8010032,45400
2,8010034,45400
2,8010037,45400
2,8011004,50200
2,8011015,50200
2,8011016,50200
2,8001058,70503
2,8002011,71001
2,8002034,71001
2,8002049,71001
2,8002055,71001
2,8002040,71002
2,8002038,71005
2,8002051,71005
2,8002052,71005
2,8002053,71005
2,8002026,71007
2,8002007,71009
2,8002015,71009
2,8002044,71009
2,8002054,71009
2,8002016,71010
2,8002019,71010
2,8002024,71010
2,8002033,71010
2,8001017,71300
2,8001018,71300
2,8001021,71300
2,8001056,71300
2,8001083,71300
2,8003011,80201
2,8003037,80202
2,8003040,80202
2,8003049,80202
2,8003031,80203
2,8003018,80204
2,8003033,80204
2,8003036,80204
2,8003004,82901
2,8003005,82901
2,8005016,82902
2,8005027,82902
2,8005040,82902
2,8005047,82902
2,8005053,82902
2,8005057,82902
2,8005005,82903
2,8005010,82903
2,8005011,82903
2,8005018,82903
2,8005023,82903
2,8005024,82903
2,8005049,82903
2,8005059,82903
2,8005060,82903
2,8003012,0829Z3
2,8003014,0829Z3
2,8003015,0829Z3
2,8003027,0829Z3
2,8013003,83000
2,8013005,83000
2,8013006,83000
2,8013007,83000
2,8013008,83000
2,8013009,83000
2,8013010,83000
2,8013013,83000
2,8013014,83000
2,8013015,83000
2,8013016,83000
2,8013017,83000
2,8013019,83000
2,8013020,83000
2,8013022,83000
2,8013024,83000
2,8002021,83203
2,8002023,83203
2,8002057,83203
2,8002058,83203
2,8005005,85228
2,8005009,85228
2,8005010,85228
2,8005011,85228
2,8005012,85228
2,8005015,85228
2,8005017,85228
2,8005018,85228
2,8005019,85228
2,8005020,85228
2,8005022,85228
2,8005023,85228
2,8005024,85228
2,8005025,85228
2,8005026,85228
2,8005029,85228
2,8005031,85228
2,8005035,85228
2,8005037,85228
2,8005038,85228
2,8005041,85228
2,8005046,85228
2,8005049,85228
2,8005050,85228
2,8005055,85228
2,8005058,85228
2,8005059,85228
2,8005060,85228
2,8005061,85228
2,8013005,85229
2,8013006,85229
2,8013007,85229
2,8013009,85229
2,8013013,85229
