uid,status,subject,professor,college,school,remarks,subject_re,college_re,school_re,remark_re,create_at,update_at,live_check_status,live_check_staff
90,-4,0,0,0,0,,0,0,0,,2019/9/12 16:26,2019/9/25 10:56,13,
91,-3,0,0,0,0,,0,0,0,,2019/9/12 16:28,2019/9/26 9:45,13,
92,6,0,0,0,0,,0,0,0,,2019/9/12 16:28,2019/9/24 20:34,1,8009001
93,-4,0,0,0,0,,0,0,0,,2019/9/12 16:29,2019/9/25 17:58,13,
94,2,0,0,0,0,,0,0,0,,2019/9/12 16:33,2019/9/25 10:11,1,8008001
95,2,0,0,0,0,,0,0,0,,2019/9/12 16:41,2019/9/12 16:41,13,
96,2,0,0,0,0,,0,0,0,,2019/9/12 16:48,2019/9/12 16:48,13,
97,2,0,0,0,0,,0,0,0,,2019/9/12 16:55,2019/9/12 16:55,13,
98,-3,0,0,0,0,,0,0,0,,2019/9/12 16:56,2019/9/26 12:00,13,
99,6,0,0,0,0,,0,0,0,,2019/9/12 16:59,2019/9/27 11:25,1,8007001
100,3,0,0,0,0,,0,0,0,,2019/9/12 17:04,2019/9/16 16:15,13,
101,7,0,0,0,0,,0,0,0,,2019/9/12 17:08,2019/9/29 14:10,13,
103,3,0,0,0,0,,0,0,0,,2019/9/12 17:22,2019/9/17 14:50,13,
104,-3,0,0,0,0,,0,0,0,,2019/9/12 17:23,2019/9/26 12:00,13,
105,3,0,0,0,0,,0,0,0,,2019/9/12 17:23,2019/9/16 12:38,13,
106,-3,0,0,0,0,,0,0,0,,2019/9/12 17:24,2019/9/26 12:00,13,
107,10,0,0,0,0,,0,0,0,,2019/9/12 17:28,2019/9/29 16:29,13,
108,2,0,0,0,0,,0,0,0,,2019/9/12 17:43,2019/9/12 17:43,13,
109,2,0,0,0,0,,0,0,0,,2019/9/12 18:31,2019/9/12 18:31,13,
110,2,0,0,0,0,,0,0,0,,2019/9/12 19:39,2019/9/24 16:29,1,8009001
111,10,0,0,0,0,,0,0,0,,2019/9/12 23:36,2019/9/30 10:03,13,
112,10,0,0,0,0,,0,0,0,,2019/9/13 8:05,2019/10/17 8:39,1,8008001
113,2,0,0,0,0,,0,0,0,,2019/9/13 8:10,2019/9/13 8:10,13,
114,2,0,0,0,0,,0,0,0,,2019/9/13 8:10,2019/9/13 8:10,13,
115,10,0,0,0,0,,0,0,0,,2019/9/13 8:16,2019/9/30 10:38,13,
116,2,0,0,0,0,,0,0,0,,2019/9/13 8:22,2019/9/13 8:22,13,
117,10,0,0,0,0,,0,0,0,,2019/9/13 8:23,2019/10/8 11:03,13,
118,-3,0,0,0,0,,0,0,0,,2019/9/13 8:26,2019/9/26 12:00,13,
119,7,0,0,0,0,,0,0,0,,2019/9/13 8:27,2019/9/27 19:19,13,
120,3,0,0,0,0,,0,0,0,,2019/9/13 8:36,2019/9/18 15:18,13,
121,6,0,0,0,0,,0,0,0,,2019/9/13 8:47,2019/9/27 8:48,1,8014001
122,2,0,0,0,0,,0,0,0,,2019/9/13 8:48,2019/9/13 8:48,13,
124,3,0,0,0,0,,0,0,0,,2019/9/13 9:07,2019/9/13 9:53,13,
125,3,0,0,0,0,,0,0,0,,2019/9/13 9:08,2019/9/13 10:35,13,
126,10,0,0,0,0,,0,0,0,,2019/9/13 9:09,2019/10/17 14:41,13,
127,2,0,0,0,0,,0,0,0,,2019/9/13 9:09,2019/9/13 9:09,13,
128,2,0,0,0,0,,0,0,0,,2019/9/13 9:10,2019/9/13 9:10,13,
129,3,0,0,0,0,,0,0,0,,2019/9/13 9:12,2019/9/16 8:12,13,
130,2,0,0,0,0,,0,0,0,,2019/9/13 9:13,2019/9/13 9:13,13,
131,-4,0,0,0,0,,0,0,0,,2019/9/13 9:15,2019/9/26 9:17,13,
132,2,0,0,0,0,,0,0,0,,2019/9/13 9:16,2019/9/24 19:47,13,
133,7,0,0,0,0,,0,0,0,,2019/9/13 9:22,2019/10/15 17:36,13,
134,-5,0,0,0,0,,0,0,0,,2019/9/13 9:25,2019/9/28 13:41,13,
135,2,0,0,0,0,,0,0,0,,2019/9/13 9:26,2019/9/13 9:26,13,
136,10,0,0,0,0,,0,0,0,,2019/9/13 9:26,2019/10/8 11:06,13,
137,2,0,0,0,0,,0,0,0,,2019/9/13 9:33,2019/9/13 9:33,13,
138,2,0,0,0,0,,0,0,0,,2019/9/13 9:34,2019/9/13 9:34,13,
139,3,0,0,0,0,,0,0,0,,2019/9/13 9:35,2019/9/13 10:02,13,
140,10,0,0,0,0,,0,0,0,,2019/9/13 9:36,2019/10/11 8:12,1,8007001
141,-3,0,0,0,0,,0,0,0,,2019/9/13 9:36,2019/9/26 12:00,13,
142,-3,0,0,0,0,,0,0,0,,2019/9/13 9:39,2019/9/26 12:00,13,
143,-3,0,0,0,0,,0,0,0,,2019/9/13 9:40,2019/9/26 12:00,13,
144,2,0,0,0,0,,0,0,0,,2019/9/13 9:42,2019/9/13 9:42,13,
145,-3,0,0,0,0,,0,0,0,,2019/9/13 9:47,2019/9/26 12:00,13,
146,2,0,0,0,0,,0,0,0,,2019/9/13 9:51,2019/9/13 9:51,13,
147,2,0,0,0,0,,0,0,0,,2019/9/13 9:52,2019/9/13 9:52,13,
148,2,0,0,0,0,,0,0,0,,2019/9/13 9:53,2019/9/13 9:53,13,
149,2,0,0,0,0,,0,0,0,,2019/9/13 9:56,2019/9/13 9:56,13,
150,3,0,0,0,0,,0,0,0,,2019/9/13 10:00,2019/9/18 9:09,13,
151,3,0,0,0,0,,0,0,0,,2019/9/13 10:15,2019/9/13 12:11,13,
152,-4,0,0,0,0,,0,0,0,,2019/9/13 10:16,2019/9/18 21:24,1,8010001
153,2,0,0,0,0,,0,0,0,,2019/9/13 10:18,2019/9/13 10:18,13,
154,6,0,0,0,0,,0,0,0,,2019/9/13 10:20,2019/9/25 16:09,13,
155,3,0,0,0,0,,0,0,0,,2019/9/13 10:25,2019/9/13 11:14,13,
156,3,0,0,0,0,,0,0,0,,2019/9/13 10:33,2019/9/13 10:54,13,
158,2,0,0,0,0,,0,0,0,,2019/9/13 10:46,2019/9/13 10:46,13,
159,10,0,0,0,0,,0,0,0,,2019/9/13 10:51,2019/10/11 11:18,1,8013001
160,4,0,0,0,0,,0,0,0,,2019/9/13 10:54,2019/9/26 14:21,13,
161,2,0,0,0,0,,0,0,0,,2019/9/13 10:56,2019/9/13 10:56,13,
162,2,0,0,0,0,,0,0,0,,2019/9/13 10:58,2019/9/13 10:58,13,
163,3,0,0,0,0,,0,0,0,,2019/9/13 11:11,2019/9/13 11:48,13,
164,3,0,0,0,0,,0,0,0,,2019/9/13 11:12,2019/9/13 11:49,13,
165,2,0,0,0,0,,0,0,0,,2019/9/13 11:14,2019/9/13 11:14,13,
166,-3,0,0,0,0,,0,0,0,,2019/9/13 11:16,2019/9/26 12:00,13,
167,2,0,0,0,0,,0,0,0,,2019/9/13 11:20,2019/9/13 11:20,13,
168,2,0,0,0,0,,0,0,0,,2019/9/13 11:21,2019/9/13 11:21,13,
169,2,0,0,0,0,,0,0,0,,2019/9/13 11:33,2019/9/13 11:33,13,
170,2,0,0,0,0,,0,0,0,,2019/9/13 11:38,2019/9/13 11:38,13,
171,2,0,0,0,0,,0,0,0,,2019/9/13 11:48,2019/9/13 11:48,13,
172,2,0,0,0,0,,0,0,0,,2019/9/13 11:50,2019/9/13 11:50,13,
173,-3,0,0,0,0,,0,0,0,,2019/9/13 12:04,2019/9/26 12:00,13,
174,10,0,0,0,0,,0,0,0,,2019/9/13 12:17,2019/9/29 16:29,1,8006115
175,5,0,0,0,0,,0,0,0,,2019/9/13 12:21,2019/9/26 13:54,13,
176,10,0,0,0,0,,0,0,0,,2019/9/13 12:25,2019/10/17 14:41,13,
177,3,0,0,0,0,,0,0,0,,2019/9/13 12:39,2019/9/21 17:36,13,
178,10,0,0,0,0,,0,0,0,,2019/9/13 12:40,2019/10/14 8:01,1,8002001
179,3,0,0,0,0,,0,0,0,,2019/9/13 12:46,2019/9/21 12:24,13,
180,2,0,0,0,0,,0,0,0,,2019/9/13 12:47,2019/9/13 12:47,13,
