uid,subject,professor,college,school,status,remarks,subject_re,college_re,school_re,remark_re
140,8007120,0,8007001,0,5,,0,0,0,
141,8013011,0,8013001,0,5,,0,0,0,
142,8007053,0,8007001,0,5,,0,0,0,
143,8010013,0,8010001,0,6,,0,0,0,
144,0,0,0,0,-33,,0,0,0,
145,8011026,0,8011001,0,6,,0,0,0,
146,8005052,0,8005001,0,6,,0,0,0,
147,8007072,0,8007001,0,5,,0,0,0,
148,8004005,0,8004001,0,6,,0,0,0,
149,8006021,0,8006001,0,6,,0,0,0,
150,0,0,0,0,-1,,0,0,0,
151,0,0,0,0,-1,,0,0,0,
152,8001042,0,8001001,0,5,,0,0,0,
153,8006024,0,8006001,0,6,,0,0,0,
154,8002038,0,8002001,0,5,,0,0,0,
155,8006024,0,8006001,0,6,,0,0,0,
156,8014035,0,8014001,0,5,,0,0,0,
157,8011005,0,8011001,0,6,,0,0,0,
158,0,0,0,0,2,,0,0,0,
159,0,0,0,0,-1,,0,0,0,
160,8008039,0,8008001,0,6,,0,0,0,
161,8007016,0,8007001,0,5,,0,0,0,
162,8014035,0,8014001,0,5,,0,0,0,
163,0,0,0,0,-33,,0,0,0,
164,0,0,0,0,-33,,0,0,0,
165,0,0,0,0,2,,0,0,0,
166,8009001,0,0,0,3,,0,0,0,
167,8001042,0,8001001,0,5,,0,0,0,
168,0,0,0,0,-1,,0,0,0,
169,8006021,0,8006001,0,6,,0,0,0,
170,8015001,0,0,0,5,,0,0,0,
171,8007016,0,8007001,0,6,,0,0,0,
172,0,0,0,0,-1,,0,0,0,
173,0,0,0,0,2,,0,0,0,
174,8002023,0,8002001,0,5,,0,0,0,
175,8011026,0,8011001,0,5,,0,0,0,
176,0,0,0,0,2,,0,0,0,
177,8006024,0,8006001,0,6,,0,0,0,
178,0,0,0,0,-1,,0,0,0,
179,8014035,0,8014001,0,6,,0,0,0,
180,8007121,0,8007001,0,5,,0,0,0,
181,0,0,0,0,-33,,0,0,0,
182,8001021,0,8001001,0,6,,0,0,0,
183,8011005,0,8011001,0,6,,0,0,0,
184,8011005,0,8011001,0,6,,0,0,0,
185,0,0,0,0,-1,,0,0,0,
186,8001014,0,8001001,0,5,,0,0,0,
187,8006003,0,8006001,0,6,,0,0,0,
188,8001079,0,8001001,0,6,,0,0,0,
189,8007120,0,8007001,0,5,,0,0,0,
190,8003009,0,8003001,0,6,,0,0,0,
191,0,0,0,0,2,,0,0,0,
192,0,0,0,0,-33,,0,0,0,
193,0,0,0,0,-33,,0,0,0,
194,8006021,0,8006001,0,6,,0,0,0,
195,8006021,0,8006001,0,6,,0,0,0,
196,0,0,0,0,-1,,0,0,0,
197,0,0,0,0,-33,,0,0,0,
198,8010013,0,8010001,0,5,,0,0,0,
199,0,0,0,0,-1,,0,0,0,
200,0,0,0,0,-33,,0,0,0,
201,0,0,0,0,-33,,0,0,0,
202,8007072,0,8007001,0,6,,0,0,0,
203,0,0,0,0,2,,0,0,0,
204,0,0,0,0,-1,,0,0,0,
205,0,0,0,0,2,,0,0,0,
206,0,0,0,0,-1,,0,0,0,
207,8011026,0,8011001,0,5,,0,0,0,
208,0,0,0,0,-1,,0,0,0,
209,8002018,0,0,0,6,,0,0,0,
210,8014035,0,8014001,0,5,,0,0,0,
211,8001079,0,8001001,0,6,,0,0,0,
212,0,0,0,0,-33,,0,0,0,
213,8007120,0,8007001,0,5,,0,0,0,
214,8007073,0,8007001,0,6,,0,0,0,
215,0,0,0,0,-1,,0,0,0,
216,0,0,0,0,-1,,0,0,0,
217,8005052,0,8005001,0,5,,0,0,0,
