,uid,level,SSDM
475,1065.0,2,11.0
476,1068.0,2,11.0
477,1076.0,2,11.0
478,1078.0,2,11.0
479,1080.0,2,11.0
480,1081.0,2,11.0
481,1085.0,2,11.0
482,1087.0,2,11.0
483,1089.0,2,11.0
484,1092.0,2,11.0
485,1093.0,2,11.0
486,1094.0,2,11.0
487,1095.0,2,11.0
488,1096.0,2,11.0
489,1098.0,2,11.0
490,1101.0,2,11.0
491,1102.0,2,11.0
492,1103.0,2,11.0
493,1104.0,2,11.0
494,1105.0,2,11.0
495,1109.0,2,11.0
496,1111.0,2,11.0
497,1112.0,2,11.0
498,1114.0,2,11.0
499,1116.0,2,11.0
500,1117.0,2,11.0
501,1119.0,2,11.0
502,1122.0,2,11.0
503,1126.0,2,11.0
504,1128.0,2,11.0
505,1130.0,2,11.0
506,1132.0,2,11.0
507,1133.0,2,11.0
508,1141.0,2,11.0
509,1145.0,2,11.0
510,1149.0,2,11.0
511,1153.0,2,11.0
512,1155.0,2,11.0
513,1156.0,2,11.0
514,1158.0,2,11.0
515,1160.0,2,11.0
516,1169.0,2,11.0
517,1177.0,2,11.0
518,1178.0,2,11.0
519,1180.0,2,11.0
520,10001.0,2,11.0
521,10002.0,2,11.0
522,29.0,1,35.0
523,165.0,1,35.0
524,622.0,1,35.0
525,32.0,9,37.0
526,33.0,1,14.0
527,53.0,1,14.0
528,138.0,1,14.0
529,192.0,1,14.0
530,389.0,1,14.0
531,534.0,1,14.0
532,595.0,1,14.0
533,635.0,1,14.0
534,765.0,1,14.0
535,34.0,1,21.0
536,266.0,1,21.0
537,372.0,1,21.0
538,35.0,2,35.0
539,38.0,9,21.0
540,577.0,9,21.0
541,40.0,1,41.0
542,267.0,1,41.0
543,314.0,1,41.0
544,317.0,1,41.0
545,328.0,1,41.0
546,612.0,1,41.0
547,755.0,1,41.0
548,42.0,1,21.0
549,189.0,1,21.0
550,43.0,1,37.0
551,48.0,1,37.0
552,176.0,1,37.0
553,183.0,1,37.0
554,280.0,1,37.0
555,373.0,1,37.0
556,417.0,1,37.0
557,420.0,1,37.0
558,421.0,1,37.0
559,436.0,1,37.0
560,437.0,1,37.0
561,495.0,1,37.0
562,530.0,1,37.0
563,584.0,1,37.0
564,647.0,1,37.0
565,793.0,1,37.0
566,1091.0,1,37.0
567,1097.0,1,37.0
568,44.0,1,32.0
569,166.0,1,32.0
570,190.0,1,32.0
571,197.0,1,32.0
572,217.0,1,32.0
573,270.0,1,32.0
574,462.0,1,32.0
575,466.0,1,32.0
576,585.0,1,32.0
577,605.0,1,32.0
578,703.0,1,32.0
579,744.0,1,32.0
580,853.0,1,32.0
581,882.0,1,32.0
582,1125.0,1,32.0
583,49.0,9,61.0
584,83.0,9,61.0
585,450.0,9,61.0
586,697.0,9,61.0
587,790.0,9,61.0
588,824.0,9,61.0
589,879.0,9,61.0
590,51.0,1,15.0
591,54.0,1,15.0
592,56.0,1,15.0
593,195.0,1,15.0
594,350.0,1,15.0
595,465.0,1,15.0
596,487.0,1,15.0
597,517.0,1,15.0
598,614.0,1,15.0
599,664.0,1,15.0
600,666.0,1,15.0
601,668.0,1,15.0
602,712.0,1,15.0
603,747.0,1,15.0
604,810.0,1,15.0
605,859.0,1,15.0
606,918.0,1,15.0
607,921.0,1,15.0
608,1074.0,1,15.0
609,1079.0,1,15.0
610,1140.0,1,15.0
611,55.0,2,50.0
612,58.0,2,50.0
613,423.0,2,50.0
614,57.0,1,62.0
615,115.0,1,62.0
616,181.0,1,62.0
617,236.0,1,62.0
618,376.0,1,62.0
619,653.0,1,62.0
620,1018.0,1,62.0
621,62.0,1,37.0
622,113.0,1,37.0
623,200.0,1,37.0
624,219.0,1,37.0
625,304.0,1,37.0
626,531.0,1,37.0
627,616.0,1,37.0
628,672.0,1,37.0
629,801.0,1,37.0
630,888.0,1,37.0
631,892.0,1,37.0
632,938.0,1,37.0
633,1115.0,1,37.0
634,63.0,1,51.0
635,101.0,1,51.0
636,291.0,1,51.0
637,469.0,1,51.0
638,812.0,1,51.0
639,893.0,1,51.0
640,916.0,1,51.0
641,1088.0,1,51.0
642,1108.0,1,51.0
643,67.0,1,23.0
644,152.0,1,23.0
645,662.0,1,23.0
646,816.0,1,23.0
647,994.0,1,23.0
648,1063.0,1,23.0
649,1144.0,1,23.0
650,72.0,1,11.0
651,80.0,1,11.0
652,85.0,1,11.0
653,139.0,1,11.0
654,286.0,1,11.0
655,338.0,1,11.0
656,346.0,1,11.0
657,402.0,1,11.0
658,434.0,1,11.0
659,468.0,1,11.0
660,485.0,1,11.0
661,522.0,1,11.0
662,568.0,1,11.0
663,743.0,1,11.0
664,797.0,1,11.0
665,1043.0,1,11.0
666,1070.0,1,11.0
667,73.0,9,37.0
668,74.0,9,11.0
669,756.0,9,11.0
670,840.0,9,11.0
671,75.0,1,11.0
672,117.0,1,11.0
673,407.0,1,11.0
674,442.0,1,11.0
675,1120.0,1,11.0
676,76.0,1,12.0
677,832.0,1,12.0
678,79.0,1,43.0
679,174.0,1,43.0
680,279.0,1,43.0
681,439.0,1,43.0
682,501.0,1,43.0
683,516.0,1,43.0
684,574.0,1,43.0
685,578.0,1,43.0
686,730.0,1,43.0
687,806.0,1,43.0
688,922.0,1,43.0
689,1029.0,1,43.0
690,1057.0,1,43.0
691,81.0,1,12.0
692,315.0,1,12.0
693,84.0,1,51.0
694,488.0,1,51.0
695,91.0,1,11.0
696,162.0,1,11.0
697,220.0,1,11.0
698,356.0,1,11.0
699,425.0,1,11.0
700,592.0,1,11.0
701,644.0,1,11.0
702,811.0,1,11.0
703,819.0,1,11.0
704,939.0,1,11.0
705,1072.0,1,11.0
706,1170.0,1,11.0
707,1171.0,1,11.0
708,96.0,1,34.0
709,201.0,1,34.0
710,205.0,1,34.0
711,292.0,1,34.0
712,384.0,1,34.0
713,393.0,1,34.0
714,497.0,1,34.0
715,557.0,1,34.0
716,569.0,1,34.0
717,586.0,1,34.0
718,655.0,1,34.0
719,1028.0,1,34.0
720,97.0,9,12.0
721,100.0,1,23.0
722,198.0,1,23.0
723,262.0,1,23.0
724,391.0,1,23.0
725,443.0,1,23.0
726,651.0,1,23.0
727,775.0,1,23.0
728,851.0,1,23.0
729,940.0,1,23.0
730,103.0,1,41.0
731,130.0,1,41.0
732,132.0,1,41.0
733,156.0,1,41.0
734,158.0,1,41.0
735,167.0,1,41.0
736,258.0,1,41.0
737,395.0,1,41.0
738,550.0,1,41.0
739,691.0,1,41.0
740,794.0,1,41.0
741,830.0,1,41.0
742,843.0,1,41.0
743,919.0,1,41.0
744,932.0,1,41.0
745,1157.0,1,41.0
746,106.0,1,34.0
747,114.0,1,34.0
748,107.0,1,65.0
749,1040.0,1,65.0
750,112.0,1,53.0
751,221.0,1,53.0
752,247.0,1,53.0
753,456.0,1,53.0
754,748.0,1,53.0
755,871.0,1,53.0
756,881.0,1,53.0
757,941.0,1,53.0
758,1075.0,1,53.0
759,116.0,1,13.0
760,129.0,1,13.0
761,223.0,1,13.0
762,352.0,1,13.0
763,949.0,1,13.0
764,119.0,1,43.0
765,208.0,1,43.0
766,481.0,1,43.0
767,758.0,1,43.0
768,1118.0,1,43.0
769,120.0,1,11.0
770,621.0,1,11.0
771,710.0,1,11.0
772,121.0,1,33.0
773,128.0,1,37.0
774,351.0,1,37.0
775,598.0,1,37.0
776,833.0,1,37.0
777,1174.0,1,37.0
778,133.0,2,42.0
779,143.0,2,42.0
780,641.0,2,42.0
781,680.0,2,42.0
782,689.0,2,42.0
783,701.0,2,42.0
784,800.0,2,42.0
785,861.0,2,42.0
786,134.0,1,15.0
787,1165.0,1,15.0
788,135.0,2,46.0
789,226.0,2,46.0
790,306.0,2,46.0
791,359.0,2,46.0
792,369.0,2,46.0
793,446.0,2,46.0
794,707.0,2,46.0
795,850.0,2,46.0
796,863.0,2,46.0
797,137.0,1,37.0
798,482.0,1,37.0
799,144.0,1,50.0
800,150.0,1,21.0
801,657.0,1,21.0
802,151.0,1,15.0
803,155.0,1,37.0
804,1150.0,1,37.0
805,160.0,1,41.0
806,834.0,1,41.0
807,161.0,1,23.0
808,509.0,1,23.0
809,163.0,1,41.0
810,164.0,1,41.0
811,182.0,1,41.0
812,490.0,1,41.0
813,579.0,1,41.0
814,168.0,1,37.0
815,318.0,1,37.0
816,379.0,1,37.0
817,511.0,1,37.0
818,805.0,1,37.0
819,171.0,1,22.0
820,563.0,1,22.0
821,699.0,1,22.0
822,776.0,1,22.0
823,858.0,1,22.0
824,172.0,9,11.0
825,1099.0,9,11.0
826,173.0,1,15.0
827,261.0,1,15.0
828,283.0,1,15.0
829,360.0,1,15.0
830,771.0,1,15.0
831,177.0,2,43.0
832,493.0,2,43.0
833,178.0,1,12.0
834,1134.0,1,12.0
835,1151.0,1,12.0
836,180.0,1,41.0
837,632.0,1,41.0
838,185.0,1,52.0
839,603.0,1,52.0
840,186.0,2,11.0
841,951.0,2,11.0
842,187.0,2,42.0
843,1161.0,2,42.0
844,193.0,2,32.0
845,194.0,1,12.0
846,795.0,1,12.0
847,898.0,1,12.0
848,199.0,2,11.0
849,344.0,2,11.0
850,353.0,2,11.0
851,202.0,1,21.0
852,209.0,1,21.0
853,310.0,1,21.0
854,337.0,1,21.0
855,915.0,1,21.0
856,203.0,1,11.0
857,1154.0,1,11.0
858,210.0,9,12.0
859,1073.0,9,12.0
860,216.0,1,14.0
861,218.0,1,15.0
862,519.0,1,15.0
863,222.0,1,35.0
864,224.0,1,35.0
865,296.0,1,35.0
866,489.0,1,35.0
867,876.0,1,35.0
868,246.0,2,64.0
869,334.0,2,64.0
870,387.0,2,64.0
871,676.0,2,64.0
872,678.0,2,64.0
873,930.0,2,64.0
874,1173.0,2,64.0
875,249.0,2,32.0
