,uid,apply_type,cet4,cet6,grade_points,honour,project,ranking_absolu,ranking,level,location,label,score
25,30,0.0,524.0,492.0,0.99,nannannan,nannannan,123.0,1.0,1.0,41.0,0.0,0.0
26,31,0.0,562.0,511.0,0.8140000000000001,国家奖学金nan国家级江苏省优秀学生干部nan省市级江苏省优秀志愿者nan省市级校一等奖学金nan校级18校三好奖学金nan校级校文化艺术奖nan校级优秀共青团员nan校级院优秀共青团干部nan院级金善宝奖学金nan校级优秀志愿者nan校级院优秀团务助理nan院级院优秀志愿者nan院级校优秀学生干部nan校级院党校优秀学员nan院级社会实践先进个人nan校级简历制作大赛三等奖nan校级菊花摄影比赛一等奖nan校级摄影比赛三等奖nan院级挑战杯优秀志愿者nan校级摄影比赛一等奖nan校级植物地图大赛nan校级,江苏省古树名木时空分布与文化价值研究完成一作论文《江苏省不同区域古树名木分布特点研究》（《中国园林》杂志专家审核）和三作论文《江苏省文化树种认知情况及园林应用》（江苏农业科技）杂志已收稿）。省市级江苏省文化树种认知情况及园林应用论文撰写完成一篇三作论文，已被《江苏农业科技》收稿。省市级,44.0,1.0,2.0,32.0,0.0,0.0
27,32,0.0,432.0,0.0,0.8764,国家奖学金nan国家级“互联网+”大赛nan省市级创青春大赛nan国家级校三好学生nan校级校级优秀班干部nan校级,nannannan,27.0,1.0,9.0,37.0,1.0,66.8
28,33,0.0,560.0,520.0,0.8825,学业二等奖学金2017年至2018年大二年级学业二等奖学金校级暑期优异营员北京林业大学心理学优异营员校级,基于角色扮演类网络游戏的大学生自我认同建构一篇关于《基于角色扮演类网络游戏的大学生自我认同建构》的论文。其他,11.6,5.0,1.0,14.0,1.0,77.75
30,35,0.0,580.0,447.0,0.92,17-18国家励志奖学金nan国家级16-17国家励志奖学金nan国家级15-16国家励志奖学金nan国家级福州大学三好学生nan校级16-17校一等奖学金nan校级17-18校一等奖学金nan校级15-16校二等奖学金nan校级精神文明建设先进个人nan校级福州大学优秀共青团员nan校级,城市双修背景下地域文化景观的保护与开发研究项目还在进行中其他,30.0,1.0,2.0,35.0,0.0,0.0
31,36,0.0,507.0,578.0,0.955,nannannan,nannannan,135.0,1.0,1.0,13.0,0.0,0.0
32,37,1.0,450.0,0.0,0.8595,优秀学生干部校优秀学生干部校级一等奖学金学习成绩突出校级北京市大学生工业设计北京市大学生工业设计大赛一等奖省市级学习进步奖学金学习进步奖学金校级教育设计优秀奖教育设计晋级赛最具应用前景优秀奖省市级,快递纸盒的纸艺创新设计研究一套纸艺创新得快递盒其他,3.555555555555556,9.0,2.0,11.0,0.0,0.0
33,38,0.0,579.0,553.0,0.8400000000000001,全国大学生英语竞赛全国大学生英语竞赛三等奖国家级财务决策大赛第六届“网中网杯”大学生财务决策大赛获校级三等奖校级三好学生校三好学生，优秀学生干部校级三好学生标兵校三好学生标兵校级优秀团员五四优秀团员校级校一等奖学金2016-2017学年共获2次校级校二等奖学金2017-2018学年共获两次校级,nannannan,55.0,3.0,9.0,21.0,0.0,0.0
34,39,0.0,527.0,481.0,0.9157,nannannan,nannannan,16.0,6.0,2.0,11.0,0.0,0.0
35,40,0.0,516.0,491.0,0.9725,国家奖学金nan国家级国家励志奖学金nan国家级青春三下乡社会实践先带领团队成员赴周口张庄进行安全教育关爱活动。校级三好学生nan校级,河南省教育厅人文社科项目(编号: 2017-ZZJH-232)《基于奶牛繁殖规律的奶业生产周期性波动分析》发表于《河南畜牧兽医》省市级,56.0,1.0,1.0,41.0,0.0,0.0
36,41,0.0,429.0,0.0,0.8637999999999999,校三好学生nan校级北林丽景科技创新奖nan校级优秀心理委员nan院级梁希学子三等奖nan校级梁希学子三等奖（2）nan校级,陕北黄土区不同微地形土壤养分特征研究这些结果表明黄土高原生态恢复区的土壤水分分布高度依赖于恢复措施和微地形种类。因此，在进行黄土高原的生态环境构建时应充分利用不同微地形的水分优势，力求高效利用水分的同时做到不超额、不过载，有意识的避免深层土壤干层的恶化。国家级陕北黄土区林分结构与微地形对深层土壤水分影响研究项目优秀结题；以第一作者发表论文《封育和造林对陕北黄土坡面微地形0-10m土层土壤水分的影响》国家级,2.375,8.0,2.0,11.0,1.0,85.76
