,uid,honour
141,29.0,植物园杯景观设计大赛“植物园杯”第七届“筑景”景观设计大赛一等奖，作品《爱与梦》。省市级
142,29.0,文化创新创意大赛第二届 华侨大学大学生文化创新创意大赛文创产品类三等奖，作品《一眼千年——特色文创》隐形眼镜校级
143,29.0,出国（境）交流突出奖2018年度华侨大学学生出国（境）交流“突出表现奖”一等奖。校级
144,29.0,建筑学院作品集大赛华侨大学建筑学院2019“永久奋斗”第四届作品集大赛一等奖院级
145,29.0,建筑学院三好学生2017-2018学年华侨大学建筑学院三好学生院级
146,30.0,nannannan
147,31.0,国家奖学金nan国家级
148,31.0,江苏省优秀学生干部nan省市级
149,31.0,江苏省优秀志愿者nan省市级
150,31.0,校一等奖学金nan校级
151,31.0,18校三好奖学金nan校级
152,31.0,校文化艺术奖nan校级
153,31.0,优秀共青团员nan校级
154,31.0,院优秀共青团干部nan院级
155,31.0,金善宝奖学金nan校级
156,31.0,优秀志愿者nan校级
157,31.0,院优秀团务助理nan院级
158,31.0,院优秀志愿者nan院级
159,31.0,校优秀学生干部nan校级
160,31.0,院党校优秀学员nan院级
161,31.0,社会实践先进个人nan校级
162,31.0,简历制作大赛三等奖nan校级
163,31.0,菊花摄影比赛一等奖nan校级
164,31.0,摄影比赛三等奖nan院级
165,31.0,挑战杯优秀志愿者nan校级
166,31.0,摄影比赛一等奖nan校级
167,31.0,植物地图大赛nan校级
168,32.0,国家奖学金nan国家级
169,32.0,“互联网+”大赛nan省市级
170,32.0,创青春大赛nan国家级
171,32.0,校三好学生nan校级
172,32.0,校级优秀班干部nan校级
173,33.0,学业二等奖学金2017年至2018年大二年级学业二等奖学金校级
174,33.0,暑期优异营员北京林业大学心理学优异营员校级
175,34.0,nannannan
176,35.0,17-18国家励志奖学金nan国家级
177,35.0,16-17国家励志奖学金nan国家级
178,35.0,15-16国家励志奖学金nan国家级
179,35.0,福州大学三好学生nan校级
180,35.0,16-17校一等奖学金nan校级
181,35.0,17-18校一等奖学金nan校级
182,35.0,15-16校二等奖学金nan校级
183,35.0,精神文明建设先进个人nan校级
184,35.0,福州大学优秀共青团员nan校级
185,36.0,nannannan
186,37.0,优秀学生干部校优秀学生干部校级
187,37.0,一等奖学金学习成绩突出校级
188,37.0,北京市大学生工业设计北京市大学生工业设计大赛一等奖省市级
189,37.0,学习进步奖学金学习进步奖学金校级
190,37.0,教育设计优秀奖教育设计晋级赛最具应用前景优秀奖省市级
191,38.0,全国大学生英语竞赛全国大学生英语竞赛三等奖国家级
192,38.0,财务决策大赛第六届“网中网杯”大学生财务决策大赛获校级三等奖校级
193,38.0,三好学生校三好学生，优秀学生干部校级
194,38.0,三好学生标兵校三好学生标兵校级
195,38.0,优秀团员五四优秀团员校级
196,38.0,校一等奖学金2016-2017学年共获2次校级
197,38.0,校二等奖学金2017-2018学年共获两次校级
198,39.0,nannannan
199,40.0,国家奖学金nan国家级
200,40.0,国家励志奖学金nan国家级
201,40.0,青春三下乡社会实践先带领团队成员赴周口张庄进行安全教育关爱活动。校级
202,40.0,三好学生nan校级
203,41.0,校三好学生nan校级
204,41.0,北林丽景科技创新奖nan校级
205,41.0,优秀心理委员nan院级
206,41.0,梁希学子三等奖nan校级
207,41.0,梁希学子三等奖（2）nan校级
208,42.0,nannannan
209,43.0,国家奖学金国家奖学金国家级
210,43.0,省大学生科技创新大赛第四届山东省大学生科技创新大赛一等奖省市级
211,43.0,山东省优秀学生干部2018年度山东省高等学校优秀学生干部省市级
212,43.0,省社会实践优秀学生2017年山东省大中专学生志愿者暑期“三下乡”社会会实践活动，省级优秀学生。省市级
213,43.0,十佳大学生2018年度山东农业大学十佳大学生校级
214,43.0,创新创业之星山东农业大学2017年大学生创新创业之星校级
215,43.0,插花艺术设计大赛山东农业大学“旭东园林杯”第八届插花艺术设计大赛二等奖校级
216,43.0,优秀学生干部2017nan
217,43.0,大学生创意大赛一等奖《多功能垃圾箱》获第二届山东农业大学“新思路”大学生创意大赛一等奖校级
218,44.0,三好学生2016-2017学年南京林业大学“三好学生”称号校级
219,44.0,三好学生奖学金2016-2017学年南京林业大学“三好学生”学校奖学金校级
220,44.0,水杉学子奖学金2017-2018学年南京林业大学“优秀学生干部标兵”水杉学子奖学金校级
221,44.0,优秀学生干部标兵2017-2018学年南京林业大学“优秀学生干部标兵”称号校级
222,44.0,优秀共青团员2017-2018学年“五四”团内先进评比获得“优秀共青团员”称号校级
223,44.0,优秀学生干部2018.6林学院学生工作中获得“优秀学生干部”称号院级
224,44.0,英语竞赛三等奖2019.5全国大学生英语竞赛三等奖国家级
225,46.0,大学生环保知识竞赛第二届全国大学生环保知识竞赛优秀奖国家级
226,46.0,调研河北2018-2019年度河北省大学生“调研河北”社会调查报告二等奖省市级
227,46.0,互联网+省级金奖河北省第五届互联网＋大学生创新创业大赛省级金奖省市级
228,46.0,互联网+省级铜奖河北省第五届互联网＋大学生创新创业大赛省级铜奖省市级
229,46.0,北京文化创意大赛歌华有线杯2019北京文化创意大赛优秀奖省市级
230,46.0,互联网+校赛金奖河北农业大学互联网+大学生创新创业大赛校赛金奖校级
231,46.0,优秀共青团员河北农业大学优秀共青团员校级
232,46.0,优秀播音河北农业大学2017-2018年度优秀播音校级
233,46.0,大学生创新创业大学生创新创业训练项目结项证书校级
234,46.0,一等奖学金河北农业大学校级一等奖学金校级
235,46.0,社会活动优秀奖河北农业大学社会活动优秀奖校级
236,46.0,最美校园摄影大赛河北农业大学职业技能大赛——最美校园摄影大赛二等奖校级
237,46.0,公益广告创意大赛河北农业大学第七届公益广告创意大赛二等奖校级
238,46.0,摄影比赛河北农业大学职业技能大赛——最美校园摄影大赛优秀奖校级
239,46.0,海报设计大赛河北农业大学第二届海报设计大赛二等奖校级
240,46.0,河北农业大学奖学金河北农业大学校级一等奖学金校级
241,46.0,三好学生河北农业大学三好学生校级
242,46.0,河北农业大学优秀团员河北农业大学优秀共青团员校级
243,46.0,职业生涯规划大赛园林与旅游学院职业生涯规划大赛三等奖院级
244,46.0,英语演讲比赛园林与旅游学院英语演讲比赛二等奖院级
245,46.0,科普知识竞赛园林与旅游学院科普知识竞赛二等奖院级
246,47.0,校级二等奖学金成绩优秀校级
247,47.0,校级一等奖学金成绩优秀校级
248,47.0,校级三好学生表现突出校级
249,47.0,三创赛校级二等奖2018年第八届全国大学生电子商务“创新、创意及创业”挑战赛河北大学校赛选拔赛，获校级二等奖。校级
250,48.0,nannannan
251,49.0,花园节建造奖作品《卧云端》在第二届“北林国际花园建造节”中获得建造奖国家级
252,49.0,农园设计大赛一等奖作品《枕流谷》在第五届“休闲农园景观规划设计大赛”中获得一等奖（第一名）校级
253,49.0,农高会志愿者纪念证被选拔为第二十五届中国杨凌农业高新科技成果博览会志愿者，并获得志愿者纪念证书国家级
254,49.0,马尔默大学结业证书在瑞典马尔默大学访学结束后，获得由城市研究学院（The Department of Urban Studies）颁发的结业证书其他
255,49.0,社会实践论文二等奖论文成果在“2018学年寒假社会实践优秀论文评比”中获得二等奖校级
256,49.0,插花艺术比赛三等奖作品《迎风》在“西北农林科技大学第六届大学生插花艺术比赛”中获得三等奖校级
257,49.0,优秀团员被评为西北农林科技大学风景园林艺术学院二零一六年度优秀团员院级
258,49.0,贺卡设计大赛优秀奖作品《桃李不言》在“感谢师恩”贺卡设计大赛中获得优秀奖校级
259,49.0,标志设计大赛优秀奖在“丝绸之路农业教育科技创新联盟”标志设计大赛中获得优秀奖校级
260,49.0,国家级期刊发表文章基于大学生创新项目的成果文章在国家一级期刊《城乡建设》（国际刊号ISSN1002-8455；国内刊号N11-1618/D）2019年9月刊发表，文章名为《基于文化创意角度的旅游产品开发设想——以合阳县为例》国家级
261,49.0,省级期刊发表文章基于《艺术构成》课程的拓展作业文章成果在省级期刊《大众文艺》（国际标准刊号ISSN1007-5828；国内刊号CN13-1129/I）2019年6月刊发表，文章名为《电影中的色彩美学及其象征意义》省市级
262,49.0,申请受理专利（1）“水形物语厨用沥水架”系本人参加西北农林科技大学“木工设计大赛”参赛作品，已申请国家实用新型专利，申请号/专利号：201920096081.8国家级
263,49.0,"申请受理专利（2）“树形公交站台""系本人参加“添爱杨凌小品设计大赛”参赛作品，已申请国家外观设计专利，申请号/专利号：201930086842.7国家级"
264,50.0,黑龙江省三好学生nan省市级
265,50.0,校“三好学生奖学金”nan校级
266,50.0,校“三号学生奖学金”nan校级
267,50.0,校“社会工作奖学金”nan校级
268,50.0,学科专业竞赛2018年度东北农业大学大学生学科专业竞赛插花比赛校级
269,50.0,校“优秀青年志愿者”nan校级
270,50.0,廉洁文化作品大赛东北农业大学廉洁文化作品大赛校二等奖校级
271,50.0,数学建模校三等奖2018年东北农业大学数学建模校三等奖校级
272,50.0,东三省数学建模联赛2019东三省数学建模联赛省三等奖省市级
273,50.0,风景园林设计建造大赛“园艺杯”风景园林设计建造大赛暨第二届东北农业大学建造节校二等奖校级
274,50.0,山东大学优秀营员nan校级
275,50.0,西北工业大学优秀营员优秀营员校级
276,50.0,湖南大学优秀营员nan校级
277,50.0,华东理工大学优秀营员nan校级
278,51.0,区级三好学生nan省市级
279,51.0,知识竞赛团体奖nan校级
280,51.0,优秀学生会干部nan校级
281,51.0,优秀团员nan校级
282,51.0,校级三好学生nan校级
283,51.0,校级优秀团员nan校级
284,51.0,计算机二级nan国家级
285,51.0,国家奖学金nan国家级
286,51.0,演讲比赛nan校级
287,51.0,优秀志愿者nan校级
288,52.0,5分钟科研英文演讲2018年“中国大学生5分钟科研英语演讲”全国决赛本科生组一等奖，以“树木的种类选择和配置方式对园林光影设计的影响研究”为主题。国家级
289,52.0,省“互联网+“竞赛第四届河北省 “互联网+”大学生创新创业大赛决赛铜奖省市级
290,52.0,省级外语演讲大赛河北省高校第十八届“世纪之星”外语演讲大赛非专业组三等奖省市级
291,52.0,“全球语通”英语听说2016届“全球语通”百万新生英语听说大赛全国网络听说决赛国家级
292,52.0,校级英语演讲比赛2018年河北农业大学英语演讲比赛二等奖校级
293,52.0,校级英文演讲比赛2017年河北农业大学英语演讲比赛一等奖校级
294,52.0,园林绿化快速设计大赛园林绿化快速设计大赛三等奖院级
295,52.0,“微缩景观”设计大赛“微缩景观”设计及建造大赛优秀奖院级
296,53.0,nannannan
297,54.0,国家励志奖学金nan国家级
298,54.0,国家奖学金nan国家级
299,54.0,交通科技大赛三等奖nan院级
300,54.0,企业优化建模三等奖nan国家级
301,54.0,校优秀团员nan校级
302,54.0,校优秀学生干部nan校级
303,54.0,校优秀学生会干部nan校级
304,54.0,自治区三好学生nan省市级
305,55.0,国家励志奖学金nan国家级
306,55.0,校二等奖学金nan校级
307,55.0,校三好学生nan校级
308,55.0,精神文明先进个人nan校级
309,55.0,传统插花大赛优胜奖重庆市北碚区 “静观杯”中国传统插花大赛优胜奖省市级
310,55.0,优秀营员北京大学城市规划与设计学院“优秀营员”校级
311,55.0,优秀共青团员nan校级
